x	y	z	metro	Pitch	Roll
1.01	0.26	0.13	1.050999524	74.45	14.47
1.02	0.01	-0.01	1.020098035	89.44	0.55
0.98	-0.08	0.01	0.983310734	85.42	-4.57
0.99	-0.34	0.04	1.047520883	70.81	-19.09
1	-0.29	0.02	1.041393297	73.59	-16.38
1.05	-0.19	-0.03	1.067473653	79.89	-10.06
1.03	-0.19	-0.04	1.048141212	79.66	-10.24
1.03	-0.21	-0.02	1.051380045	78.67	-11.31
1.01	-0.24	-0.02	1.038315944	76.34	-13.64
1	-0.25	0	1.030776406	75.7	-14.3
1.01	-0.29	0.05	1.051998099	73.64	-16.2
0.99	-0.31	-0.05	1.038604833	72.29	-17.54
1.03	-0.29	0.11	1.075685828	73.46	-15.78
0.98	-0.32	0.09	1.034842983	71.33	-18.13
0.98	-0.23	0.04	1.007422454	76.42	-13.48
1.01	-0.26	0.06	1.044653052	75.13	-14.64
0.99	-0.18	0.01	1.006280279	79.89	-10.1
1.03	-0.13	-0.03	1.038604833	82.89	-7.05
1.04	-0.12	-0.01	1.046947945	83.54	-6.46
1.04	-0.1	-0.03	1.045227248	84.56	-5.38
1.04	-0.08	-0.07	1.045418576	85.43	-4.3
1.04	-0.08	-0.07	1.045418576	85.43	-4.3
1.03	-0.08	-0.09	1.037014947	85.21	-4.32
1.05	-0.07	-0.09	1.056172334	85.84	-3.72
1.02	-0.06	-0.17	1.035808863	85.15	-3.21
1.05	-0.06	-0.17	1.065363788	85.29	-3.13
1.01	-0.06	-0.22	1.035422619	83.81	-3.17
1.03	-0.06	-0.26	1.06400188	82.87	-3.06
1.03	-0.1	-0.21	1.055935604	82.24	-5.23
1.03	-0.15	-0.18	1.056314347	80.18	-7.9
1.03	-0.17	-0.16	1.056124993	79.48	-8.99
1.02	-0.19	-0.17	1.051380045	78.15	-10.09
1.02	-0.2	-0.19	1.056645636	77.25	-10.54
1.03	-0.21	-0.14	1.060471593	77.69	-11.11
1.03	-0.19	-0.1	1.052140675	79.23	-10.16
1.02	-0.21	-0.08	1.044461584	78.25	-11.35
1.03	-0.2	-0.06	1.050951949	79.03	-10.75
1.02	-0.22	-0.03	1.043886967	78.01	-11.93
1.02	-0.21	0	1.041393297	78.58	-11.42
1.02	-0.22	0.07	1.045801128	77.28	-12.42
1.01	-0.22	0.04	1.034456379	77.86	-12.04
0.99	-0.22	0.09	1.018135551	77.28	-12.2
0.94	-0.24	0.14	0.98020406	74.34	-14.32
0.98	-0.22	0.15	1.015529419	76.4	-12.15
1.01	-0.31	0.14	1.06573918	71.77	-16.96
1	-0.18	0.1	1.020979921	79.46	-9.91
0.86	0.09	0.29	0.912030701	78.57	5.31
0.95	-0.23	0.34	1.034891299	69.65	-12.42
1.05	-0.09	0.19	1.070840791	83.32	-4.66
1.02	-0.02	0.11	1.026109156	88.25	-1.09
1.01	-0.09	-0.04	1.014790619	84.92	-4.99
1.01	-0.11	-0.15	1.026985881	82.7	-5.97
1.04	-0.09	-0.02	1.044078541	85.13	-4.85
1.01	-0.11	-0.09	1.019950979	83.47	-6.05
1.03	-0.11	-0.03	1.036291465	83.97	-5.98
1.04	-0.13	-0.1	1.052853266	82.49	-6.93
1.04	-0.15	-0.09	1.054608932	81.53	-8
1.03	-0.14	-0.12	1.046374694	81.65	-7.5
1.05	-0.16	-0.04	1.062873464	81.41	-8.49
1.01	-0.18	0	1.025914226	80.09	-9.91
1.04	-0.18	0.07	1.057780696	80.11	-9.59
1	-0.21	0.07	1.02420701	78.11	-11.58
1	-0.21	0.06	1.023572176	78.18	-11.59
1.01	-0.22	0.09	1.037593369	77.52	-11.97
1.01	-0.22	0.05	1.034891299	77.81	-12.03
1.03	-0.22	0.06	1.054940757	77.46	-12.32
1.04	-0.26	0	1.072007463	75.71	-14.29
1.01	-0.26	0.01	1.04297651	75.31	-14.69
